7.94328E+00 1.714E-23 
8.12831E+00 2.096E-23
8.31764E+00 2.581E-23
8.51138E+00 2.994E-23
8.70964E+00 3.394E-23
8.91251E+00 3.941E-23
9.12011E+00 4.582E-23
9.33254E+00 5.034E-23
9.50000E+00 5.114E-23
9.54993E+00 5.095E-23
9.60000E+00 5.061E-23
9.70000E+00 4.957E-23
9.77237E+00 4.870E-23 
9.80000E+00 4.838E-23
9.90000E+00 4.724E-23
1.00000E+01 4.619E-23 
1.02329E+01 4.399E-23
1.04713E+01 4.071E-23
1.07152E+01 3.638E-23 
1.09648E+01 3.284E-23
1.12202E+01 2.994E-23
1.14815E+01 2.717E-23
1.17490E+01 2.454E-23    
1.20226E+01 2.203E-23
1.23027E+01 1.980E-23   
  

 
 

  
 

